
###2017-08-16 00:04:18.059562
code   SU%  SD%  LU% LD%  NAME
003520  54   45   50   49   영진약품
005490  49   50   49   50   POSCO

###2017-08-25 12:00:04.451711
code   SU%  SD%  LU% LD%  NAME
000660  47   52   48   51   SK하이닉스
018260  47   52   47   52   삼성SDS
034940  47   52   48   51   조아제약
046890  52   47   54   45   서울반도체
011200  46   53   47   52   현대상선
035420  45   54   48   51   NAVER
168330  52   47   48   51   내츄럴엔도텍
015760  46   53   48   51   한국전력
067160  51   48   47   52   아프리카TV
005930  52   47   49   50   삼성전자
028050  43   56   47   52   삼성엔지니어링
034220  44   55   47   52   LG디스플레이
000270  45   54   47   52   기아차
240810  55   44   51   48   원익IPS
068270  45   54   49   50   셀트리온
025320  44   55   47   52   시노펙스
006120  46   53   48   51   SK케미칼
003670  47   52   49   50   포스코켐텍
051910  49   50   50   49   LG화학
043200  45   54   47   52   파루
073240  44   55   47   52   금호타이어
005380  47   52   48   51   현대차
012450  49   50   49   50   한화테크윈
066570  46   53   48   51   LG전자
007390  47   52   47   52   네이처셀
047810  45   54   47   52   한국항공우주
003520  46   53   48   51   영진약품
005490  44   55   47   52   POSCO

###2017-08-25 18:00:05.133218
code   SU%  SD%  LU% LD%  NAME
000660  47   52   48   51   SK하이닉스
018260  50   49   49   50   삼성SDS
034940  47   52   48   51   조아제약
046890  46   53   50   49   서울반도체
011200  46   53   47   52   현대상선
035420  45   54   48   51   NAVER
168330  52   47   48   51   내츄럴엔도텍
015760  46   53   48   51   한국전력
067160  51   48   47   52   아프리카TV
005930  52   47   49   50   삼성전자
028050  43   56   47   52   삼성엔지니어링
034220  44   55   47   52   LG디스플레이
000270  45   54   47   52   기아차
240810  55   44   51   48   원익IPS
068270  54   45   50   49   셀트리온
025320  44   55   47   52   시노펙스
006120  46   53   48   51   SK케미칼
003670  47   52   49   50   포스코켐텍
051910  49   50   50   49   LG화학
043200  53   46   49   50   파루
073240  44   55   47   52   금호타이어
005380  47   52   48   51   현대차
012450  49   50   49   50   한화테크윈
066570  46   53   48   51   LG전자
007390  47   52   47   52   네이처셀
047810  45   54   47   52   한국항공우주
003520  46   53   48   51   영진약품
005490  44   55   47   52   POSCO

###2017-08-26 00:00:04.921248
code   SU%  SD%  LU% LD%  NAME
000660  47   52   48   51   SK하이닉스
018260  50   49   49   50   삼성SDS
034940  47   52   48   51   조아제약
046890  46   53   50   49   서울반도체
011200  46   53   47   52   현대상선
035420  45   54   48   51   NAVER
168330  52   47   48   51   내츄럴엔도텍
015760  46   53   48   51   한국전력
067160  51   48   47   52   아프리카TV
005930  52   47   49   50   삼성전자
028050  43   56   47   52   삼성엔지니어링
034220  44   55   47   52   LG디스플레이
000270  45   54   47   52   기아차
240810  55   44   51   48   원익IPS
068270  54   45   50   49   셀트리온
025320  44   55   47   52   시노펙스
006120  46   53   48   51   SK케미칼
003670  47   52   49   50   포스코켐텍
051910  49   50   50   49   LG화학
043200  53   46   49   50   파루
073240  44   55   47   52   금호타이어
005380  47   52   48   51   현대차
012450  49   50   49   50   한화테크윈
066570  46   53   48   51   LG전자
007390  47   52   47   52   네이처셀
047810  45   54   47   52   한국항공우주
003520  46   53   48   51   영진약품
005490  44   55   47   52   POSCO

###2017-08-26 06:00:04.700559
code   SU%  SD%  LU% LD%  NAME
000660  47   52   48   51   SK하이닉스
018260  50   49   49   50   삼성SDS
034940  47   52   48   51   조아제약
046890  46   53   50   49   서울반도체
011200  46   53   47   52   현대상선
035420  45   54   48   51   NAVER
168330  52   47   48   51   내츄럴엔도텍
015760  46   53   48   51   한국전력
067160  51   48   47   52   아프리카TV
005930  52   47   49   50   삼성전자
028050  43   56   47   52   삼성엔지니어링
034220  44   55   47   52   LG디스플레이
000270  45   54   47   52   기아차
240810  55   44   51   48   원익IPS
068270  54   45   50   49   셀트리온
025320  44   55   47   52   시노펙스
006120  46   53   48   51   SK케미칼
003670  47   52   49   50   포스코켐텍
051910  49   50   50   49   LG화학
043200  53   46   49   50   파루
073240  44   55   47   52   금호타이어
005380  47   52   48   51   현대차
012450  49   50   49   50   한화테크윈
066570  46   53   48   51   LG전자
007390  47   52   47   52   네이처셀
047810  45   54   47   52   한국항공우주
003520  46   53   48   51   영진약품
005490  44   55   47   52   POSCO

###2017-08-26 12:00:04.459849
code   SU%  SD%  LU% LD%  NAME
000660  47   52   48   51   SK하이닉스
018260  50   49   49   50   삼성SDS
034940  47   52   48   51   조아제약
046890  46   53   50   49   서울반도체
011200  46   53   47   52   현대상선
035420  45   54   48   51   NAVER
168330  52   47   48   51   내츄럴엔도텍
015760  46   53   48   51   한국전력
067160  51   48   47   52   아프리카TV
005930  52   47   49   50   삼성전자
028050  43   56   47   52   삼성엔지니어링
034220  44   55   47   52   LG디스플레이
000270  45   54   47   52   기아차
240810  55   44   51   48   원익IPS
068270  54   45   50   49   셀트리온
025320  44   55   47   52   시노펙스
006120  46   53   48   51   SK케미칼
003670  47   52   49   50   포스코켐텍
051910  49   50   50   49   LG화학
043200  53   46   49   50   파루
073240  44   55   47   52   금호타이어
005380  47   52   48   51   현대차
012450  49   50   49   50   한화테크윈
066570  46   53   48   51   LG전자
007390  47   52   47   52   네이처셀
047810  45   54   47   52   한국항공우주
